amount,hour,day_of_week,is_weekend,distance_km,device_age_days,account_age_days,transactions_last_24h,avg_amount_30d,failed_attempts_24h,is_new_device,is_new_location,merchant_risk,amount_to_avg,night_transaction,velocity_risk,failed_attempt_risk,channel_WEB,channel_MOBILE,channel_POS
717.11,21,3,0,44.55,1250,42,2,1920.19,2,0,1,0.22,0.37326344609330675,0,0.2,0.4,0,1,0
3220.6,23,6,1,21.26,1422,1006,4,3146.51,0,0,0,0.209,1.0232215306702757,1,0.4,0.0,0,0,1
336.1,17,2,0,86.31,744,432,1,4298.98,0,0,0,0.116,0.07816315424722907,0,0.1,0.0,1,0,0
3136.02,14,4,0,25.05,309,2041,3,1383.22,0,0,0,0.051,2.2655502738004074,0,0.3,0.0,0,0,1
878.72,9,2,0,29.67,965,258,3,926.15,0,0,0,0.39,0.9477646551259236,0,0.3,0.0,0,0,1
963.67,4,6,1,16.95,667,797,5,1062.82,0,0,0,0.457,0.9058581338948318,1,0.5,0.0,1,0,0
13396.58,1,6,1,44.64,218,1504,5,1528.72,0,0,1,0.551,8.757537327092539,1,0.5,0.0,1,0,0
390.78,15,0,0,50.4,713,2141,1,847.81,0,0,0,0.026,0.46038571647365134,0,0.1,0.0,0,0,1
1594.37,13,2,0,27.91,1131,2178,4,3554.65,0,0,1,0.2,0.4484046517514378,0,0.4,0.0,1,0,0
2172.92,18,4,0,2.45,1048,305,4,944.38,0,0,0,0.365,2.298461994118767,0,0.4,0.0,0,1,0
1389.73,14,3,0,58.16,619,2409,2,668.01,0,0,0,0.032,2.0772933140012855,0,0.2,0.0,0,0,1
2037.07,22,3,0,7.95,1330,1114,4,1648.53,0,0,0,0.255,1.2349396494759113,0,0.4,0.0,0,0,1
4248.16,19,1,0,47.33,628,759,3,2335.7,0,0,0,0.128,1.818016861385715,0,0.3,0.0,1,0,0
185.27,22,1,0,32.85,1077,53,3,1452.39,1,0,0,0.128,0.12747438746654374,0,0.3,0.2,0,1,0
2681.33,8,4,0,56.41,829,2106,2,1171.1,0,1,0,0.53,2.2876290418906238,0,0.2,0.0,0,1,0
598.1,14,0,0,27.11,826,2274,3,2596.66,0,0,0,0.375,0.23024568265284912,0,0.3,0.0,0,0,1
579.01,17,6,1,72.81,205,1103,4,384.2,0,1,0,0.186,1.503141225337487,0,0.4,0.0,1,0,0
2130.84,22,3,0,19.86,530,797,5,1369.67,0,0,0,0.267,1.554597386679507,0,0.5,0.0,1,0,0
3893.92,7,4,0,40.69,109,806,2,207.11,1,0,0,0.164,18.71087405698909,0,0.2,0.2,0,1,0
3796.56,15,3,0,21.3,1081,2035,6,4987.78,0,0,0,0.339,0.7610197282702384,0,0.6,0.0,1,0,0
10713.93,2,1,0,24.08,1135,2273,3,320.53,0,0,1,0.17,33.321711815382706,1,0.3,0.0,1,0,0
2020.53,2,4,0,12.52,1150,1480,3,1060.68,1,0,0,0.213,1.9031440735438172,1,0.3,0.2,1,0,0
3832.78,18,6,1,9.8,942,1398,0,2550.66,1,0,0,0.315,1.5020731602172706,0,0.0,0.2,1,0,0
3077.16,0,4,0,67.76,1429,88,1,981.24,0,0,0,0.295,3.13279850138459,1,0.1,0.0,1,0,0
4050.62,3,3,0,37.4,1146,619,7,849.0,0,0,0,0.285,4.765435294117647,1,0.7,0.0,1,0,0
1270.22,22,0,0,69.0,750,449,5,1169.07,0,0,1,0.278,1.0855931696394234,0,0.5,0.0,0,0,1
1931.38,23,1,0,27.99,704,2489,0,1875.82,0,0,0,0.137,1.029070448950885,1,0.0,0.0,0,1,0
2962.93,6,2,0,81.21,434,1640,1,3484.57,0,0,0,0.33,0.8500560883872651,0,0.1,0.0,1,0,0
1783.24,7,5,1,30.31,1388,1499,2,2058.41,1,1,0,0.056,0.8658984854885623,0,0.2,0.2,1,0,0
2064.8,12,0,0,26.5,1273,1377,5,1072.6,0,0,0,0.455,1.923248882265276,0,0.5,0.0,1,0,0
2691.7,16,3,0,1.86,214,950,5,754.87,0,1,1,0.292,3.5610620873959804,0,0.5,0.0,0,1,0
5673.91,8,1,0,33.7,1372,1003,1,2726.28,0,0,0,0.351,2.0804281188583493,0,0.1,0.0,0,0,1
1845.27,11,5,1,71.66,1209,2480,5,1066.76,0,1,0,0.278,1.728169251517195,0,0.5,0.0,0,0,1
6359.19,9,4,0,16.98,649,685,4,1116.99,0,0,0,0.312,5.688056243794667,0,0.4,0.0,0,1,0
454.95,9,4,0,50.31,80,1993,2,578.84,0,0,0,0.352,0.7846129966887416,0,0.2,0.0,1,0,0
1176.63,17,5,1,20.02,626,1977,1,2250.43,1,0,0,0.294,0.5226145161075406,0,0.1,0.2,0,1,0
1328.19,7,4,0,39.07,1354,2292,4,764.55,0,0,0,0.351,1.7349487296714783,0,0.4,0.0,0,0,1
5015.77,21,3,0,40.48,63,1205,5,671.26,1,0,0,0.421,7.461056734001726,0,0.5,0.2,0,0,1
4570.4,10,3,0,22.15,492,1330,3,1907.87,0,0,0,0.542,2.3942961018822655,0,0.3,0.0,0,1,0
2983.67,9,1,0,75.56,690,981,2,1564.58,0,0,0,0.194,1.9057921026073406,0,0.2,0.0,0,0,1
6371.35,15,2,0,16.25,1340,2321,3,2618.14,0,0,1,0.311,2.4326114678864057,0,0.3,0.0,0,1,0
534.91,5,1,0,31.39,228,160,1,3253.61,0,1,0,0.422,0.16435456168327386,1,0.1,0.0,1,0,0
1988.13,9,1,0,6.83,313,1532,3,1952.56,0,0,0,0.131,1.0176958987694262,0,0.3,0.0,0,1,0
743.75,11,5,1,130.9,291,773,4,1917.65,1,0,0,0.159,0.38764235269590597,0,0.4,0.2,0,0,1
10139.9,20,2,0,23.52,1446,1730,1,1561.68,0,1,0,0.301,6.488788491565771,0,0.1,0.0,1,0,0
8326.62,23,5,1,23.09,1022,792,3,1345.32,1,0,1,0.259,6.1847257709905525,1,0.3,0.2,0,1,0
1519.06,22,4,0,18.56,276,469,4,3052.14,1,0,0,0.181,0.49754023726393154,0,0.4,0.2,0,1,0
1666.24,19,2,0,47.32,766,2402,1,667.64,1,1,0,0.206,2.491983728164633,0,0.1,0.2,0,0,1
704.17,18,3,0,27.35,476,111,5,2781.91,0,0,0,0.345,0.2530336949452192,0,0.5,0.0,0,0,1
2115.82,23,2,0,41.14,1202,870,2,696.12,1,0,0,0.627,3.0350872159742943,1,0.2,0.2,1,0,0
2321.36,9,4,0,57.94,745,857,0,2431.73,0,0,0,0.269,0.9542201559564769,0,0.0,0.0,0,1,0
1023.19,0,1,0,11.68,1295,2286,3,790.77,0,0,0,0.334,1.2922818495270092,1,0.3,0.0,0,1,0
687.55,17,6,1,8.38,89,404,0,2845.32,0,0,0,0.195,0.2415575198853256,0,0.0,0.0,1,0,0
884.92,2,4,0,100.07,1142,1832,3,1412.35,0,0,0,0.078,0.6261152580747869,1,0.3,0.0,0,1,0
1950.36,19,4,0,35.89,1187,1496,1,558.5,0,0,0,0.298,3.4858981233243966,0,0.1,0.0,0,1,0
4129.37,20,3,0,91.55,637,682,3,539.26,1,0,1,0.446,7.643301373412801,0,0.3,0.2,0,0,1
4428.01,22,1,0,29.56,144,1783,6,4243.45,1,0,1,0.27,1.0432470638127438,0,0.6,0.2,1,0,0
4873.38,1,3,0,16.8,415,1698,3,1875.82,0,0,0,0.657,2.596615551837683,1,0.3,0.0,0,1,0
509.76,8,6,1,54.33,544,805,1,1013.18,1,0,0,0.069,0.5026326687570254,0,0.1,0.2,0,0,1
3229.39,16,6,1,16.57,787,2269,6,3292.4,0,0,1,0.517,0.9805641586202708,0,0.6,0.0,1,0,0
1316.74,8,4,0,9.34,99,2202,1,2053.62,0,1,0,0.282,0.6408678977134459,0,0.1,0.0,1,0,0
594.87,20,2,0,43.08,935,1889,1,1826.8,1,0,0,0.312,0.3254568333515702,0,0.1,0.2,1,0,0
1853.42,5,6,1,70.76,382,2450,3,1522.25,1,0,0,0.439,1.2167536517314952,1,0.3,0.2,0,0,1
1443.51,18,2,0,1.05,643,640,3,1866.58,0,0,1,0.083,0.7729307445999636,0,0.3,0.0,1,0,0
1509.55,12,0,0,15.08,599,2428,3,1106.48,0,0,0,0.328,1.363049445588182,0,0.3,0.0,0,1,0
623.17,21,1,0,32.35,333,373,4,1050.5,0,0,0,0.368,0.5926485972420351,0,0.4,0.0,0,1,0
2016.28,20,5,1,3.12,38,778,1,1388.51,1,0,0,0.451,1.451072680297371,0,0.1,0.2,0,0,1
819.87,1,4,0,17.3,558,1859,2,3724.05,0,0,0,0.16,0.22009637454530812,1,0.2,0.0,0,1,0
6393.04,11,3,0,36.71,949,1551,3,640.06,0,0,0,0.077,9.972607868218264,0,0.3,0.0,0,0,1
650.38,7,3,0,79.22,1059,1525,4,1330.95,0,0,0,0.211,0.48829160253763276,0,0.4,0.0,0,0,1
7700.8,22,3,0,13.39,245,333,2,1704.93,0,0,0,0.656,4.514135984477675,0,0.2,0.0,0,1,0
2066.91,22,5,1,33.98,22,632,4,1918.42,0,1,0,0.46,1.076840920694793,0,0.4,0.0,0,0,1
913.04,14,0,0,0.6,264,252,1,639.01,0,0,0,0.101,1.4266027093326665,0,0.1,0.0,1,0,0
6500.75,23,4,0,43.34,166,957,2,2094.83,0,0,0,0.2,3.101754436189958,1,0.2,0.0,1,0,0
31136.35,20,4,0,33.37,284,1341,2,3443.16,0,0,0,0.293,9.04033204032333,0,0.2,0.0,0,0,1
1347.45,16,3,0,12.44,1339,865,4,1924.21,0,0,0,0.524,0.6998976735005532,0,0.4,0.0,0,1,0
2250.25,6,2,0,8.57,365,1694,3,2438.77,0,0,0,0.159,0.9223205466089016,0,0.3,0.0,0,1,0
4149.78,4,3,0,68.89,1171,1787,5,2111.14,1,0,0,0.445,1.9647277169127046,1,0.5,0.2,0,1,0
5335.7,10,6,1,42.18,1449,1408,1,2742.88,0,0,0,0.195,1.9445821245827075,0,0.1,0.0,0,0,1
8034.69,4,5,1,74.66,572,2122,2,767.33,0,0,1,0.084,10.457342548123853,1,0.2,0.0,0,1,0
697.77,15,2,0,19.93,62,2160,2,1891.11,1,0,1,0.674,0.36877877079028176,0,0.2,0.2,1,0,0
420.46,21,3,0,67.04,1155,2436,4,1592.64,0,0,0,0.065,0.26383624909013326,0,0.4,0.0,1,0,0
1244.83,21,0,0,51.87,710,1825,1,971.36,1,0,0,0.145,1.2802151466535028,0,0.1,0.2,0,0,1
2546.82,10,6,1,52.39,96,1097,4,1280.66,1,0,0,0.438,1.9871260708768317,0,0.4,0.2,0,0,1
342.59,21,3,0,55.93,984,1502,3,515.94,1,0,1,0.578,0.6627268154911594,0,0.3,0.2,1,0,0
2922.94,0,1,0,15.35,705,1476,2,1022.17,0,0,0,0.652,2.8567491228241644,1,0.2,0.0,0,0,1
1002.24,9,0,0,9.34,430,1378,3,428.63,1,0,0,0.532,2.332797988967251,0,0.3,0.2,1,0,0
912.04,8,0,0,11.36,973,1281,2,2060.99,1,0,0,0.35,0.44231058346548724,0,0.2,0.2,0,1,0
335.36,3,4,0,16.48,631,47,4,2491.78,0,0,0,0.238,0.13453252994648546,1,0.4,0.0,1,0,0
22764.99,7,5,1,31.3,955,1424,5,2725.67,0,0,0,0.345,8.349008130796907,0,0.5,0.0,0,1,0
1732.7,4,1,0,47.27,1096,2003,3,1600.52,0,0,1,0.227,1.0819096857984916,1,0.3,0.0,0,0,1
765.14,10,5,1,3.7,72,703,8,2762.71,1,0,0,0.131,0.27685249175926563,0,0.8,0.2,1,0,0
1991.9,14,0,0,27.14,1129,394,5,2530.01,0,0,0,0.257,0.7869980758669464,0,0.5,0.0,1,0,0
677.71,21,1,0,50.76,1072,624,1,1800.93,0,0,1,0.535,0.3761022903220436,0,0.1,0.0,1,0,0
9870.61,2,3,0,21.75,538,386,3,3099.95,0,0,0,0.366,3.1830922781728184,1,0.3,0.0,0,0,1
4272.96,22,3,0,5.69,718,1522,2,790.47,0,0,0,0.399,5.398764324611166,0,0.2,0.0,1,0,0
