transaction_id,customer_id,amount,hour,day_of_week,is_weekend,distance_km,device_age_days,account_age_days,transactions_last_24h,avg_amount_30d,failed_attempts_24h,is_new_device,is_new_location,merchant_risk,channel,fraud
TX0000001,10446,7509.87,4,0,0,85.69,448,1497,3,2179.21,0,1,0,0.313,POS,1
TX0000002,13869,10506.85,12,5,1,40.92,970,1176,7,637.85,0,0,0,0.11,MOBILE,1
TX0000003,13272,2504.93,17,2,0,22.08,725,75,2,2979.15,0,0,0,0.635,POS,0
TX0000004,12194,527.42,4,0,0,116.7,581,225,2,3626.19,0,0,0,0.024,WEB,0
TX0000005,12165,10594.23,19,6,1,21.28,397,1098,1,827.21,0,0,1,0.158,MOBILE,1
TX0000006,14292,650.27,8,4,0,31.64,1429,335,4,789.49,0,1,0,0.101,POS,0
TX0000007,10429,2523.76,22,3,0,10.76,1327,527,5,741.06,0,0,0,0.509,POS,0
TX0000008,13486,1392.43,2,4,0,13.85,1349,1594,4,446.45,0,0,1,0.548,MOBILE,0
TX0000009,11007,1170.18,5,3,0,31.27,1190,1039,3,903.48,2,0,0,0.104,MOBILE,0
TX0000010,10470,3865.48,17,4,0,33.93,517,304,5,1083.64,0,0,0,0.254,POS,0
TX0000011,12632,2298.48,4,5,1,66.31,295,2478,1,1065.05,3,0,0,0.207,WEB,1
TX0000012,14878,3007.26,23,1,0,5.04,827,2327,2,2482.98,0,0,0,0.195,POS,0
TX0000013,13678,796.2,22,4,0,31.99,1161,1854,1,1620.85,1,0,0,0.309,WEB,0
TX0000014,13805,1512.42,2,5,1,39.27,432,430,1,2731.37,0,1,0,0.208,MOBILE,0
TX0000015,13587,833.81,20,0,0,100.37,984,1508,4,1011.32,0,0,0,0.168,MOBILE,0
TX0000016,13930,1475.08,10,5,1,35.49,540,1820,3,3782.89,1,0,0,0.088,WEB,0
TX0000017,12566,1598.43,20,2,0,22.26,984,910,6,339.68,0,0,0,0.327,POS,0
TX0000018,10640,11382.66,16,0,0,66.1,936,2020,4,3302.23,0,0,0,0.049,MOBILE,1
TX0000019,14198,1388.74,7,4,0,2.49,190,1906,2,1038.57,1,0,1,0.137,WEB,0
TX0000020,12251,214.85,0,5,1,12.14,656,949,2,301.54,2,0,0,0.403,WEB,0
TX0000021,12501,7263.62,7,3,0,64.43,1402,428,2,2401.89,1,0,0,0.178,POS,1
TX0000022,11853,2820.87,10,4,0,22.64,394,2338,3,3496.78,0,0,0,0.445,WEB,0
TX0000023,10912,1578.98,12,3,0,11.02,1153,989,5,1970.37,1,0,0,0.066,POS,0
TX0000024,14633,1162.5,19,3,0,77.01,795,1065,3,600.26,1,0,0,0.306,POS,0
TX0000025,13907,698.28,19,2,0,0.06,1202,2006,1,1563.19,2,0,0,0.106,WEB,0
TX0000026,13219,12501.33,7,5,1,0.2,402,792,1,1423.37,0,1,1,0.272,WEB,1
TX0000027,12012,1895.78,4,3,0,35.38,161,2137,3,936.14,1,0,0,0.528,WEB,0
TX0000028,14113,316.65,15,0,0,61.0,1034,1793,2,713.29,1,0,0,0.026,WEB,0
TX0000029,12727,2498.09,17,1,0,23.64,211,1620,2,2229.73,1,0,1,0.244,MOBILE,0
TX0000030,12217,6013.21,14,2,0,20.78,1168,882,4,559.98,0,0,0,0.149,MOBILE,0
TX0000031,12252,2104.8,14,5,1,11.88,309,2485,4,3027.33,0,0,0,0.072,POS,0
TX0000032,11136,730.66,16,6,1,17.4,732,1847,4,1562.89,0,0,0,0.124,WEB,0
TX0000033,10460,668.12,9,1,0,27.08,507,912,3,1430.88,1,0,0,0.313,WEB,0
TX0000034,12772,719.26,5,1,0,16.48,603,612,4,908.63,0,0,0,0.153,WEB,0
